Chromosome,Position,rsID,Prokopenko_Nearest_protein-coding gene,Prokopenko_VEP_consequence,Prokopenko_VEP_impact,Prokopenko_VEP_gene_symbol,Allele_frequency_gnomAD_V3,Prokopenko_Discovery_P-value,Prokopenko_Replication_P-value,Prokopenko_Effect direction,Prokopenko_META_P-value
13,26509769,rs185331174,WASF3,intergenic_variant,MODIFIER,-,0.00376476,0.0002,0.224377,+-,0.339577697
13,26633871,rs181755511,WASF3,intron_variant,MODIFIER,WASF3,0.00350334,0.0002,0.340913,+-,0.488309552
13,26649898,rs182009173,WASF3,intron_variant,MODIFIER,WASF3,0.0038669,0.0002,0.26559,+-,0.393104989
2,25480844,rs185822397,DTNB,intron_variant,MODIFIER,DTNB,0.00127029,0.000203,0.109452,--,0.07170288
2,25623341,rs183527753,DTNB,intron_variant,MODIFIER,DTNB,0.00128359,0.000203,0.109452,--,0.07170288
2,25642659,rs181821209,DTNB,intron_variant,MODIFIER,DTNB,0.00127154,0.000203,0.109452,--,0.07170288
2,25767357,rs181258709,ASXL2,intron_variant,MODIFIER,ASXL2,0.000998088,0.000203,0.0586645,--,0.036528064
2,25843993,rs192412912,ASXL2,intron_variant,MODIFIER,ASXL2,0.000999134,0.000203,0.0585163,--,0.036438516
2,25861975,rs192084327,ASXL2,intron_variant,MODIFIER,ASXL2,0.0010047,0.000203,0.0586645,--,0.036528064
2,25886081,rs186562769,ASXL2,downstream_gene_variant,MODIFIER,NDUFB4P4,0.00101446,0.000203,0.0588966,--,0.036707723
19,44799020,rs139997344,CBLC,intron_variant,MODIFIER,CBLC,0.00592414,0.000213,0.624606,++,0.416218058
19,20505822,rs144946546,ZNF737,"intron_variant,non_coding_transcript_variant",MODIFIER,AC008554.1,0.00625788,0.000216,NA,-?,0.000215599
19,44860563,rs138607350,NECTIN2,intron_variant,MODIFIER,NECTIN2,0.00610582,0.000218,0.367258,++,0.216830504
15,58930654,rs536143663,RNF111,intron_variant,MODIFIER,SLTM,0.00608531,0.000219,0.34375,+-,0.500311314
3,131515250,rs148815270,MRPL3,"intron_variant,non_coding_transcript_variant",MODIFIER,AC107027.1,0.0346222,0.000222,NA,+?,0.000221624
5,33698301,rs185243486,ADAMTS12,intron_variant,MODIFIER,ADAMTS12,0.0043355,0.000228,0.105906,+-,0.179271974
18,78223359,rs115932549,SALL3,intergenic_variant,MODIFIER,-,0.0276454,0.00023,NA,+?,0.000229602
9,138110624,rs115029941,CACNA1B,intron_variant,MODIFIER,CACNA1B,0.0459226,0.000235,NA,+?,0.00023507
3,131499312,rs73870984,MRPL3,intron_variant,MODIFIER,MRPL3,0.0767265,0.000236,0.760177,++,0.494606843
14,20011691,rs78344329,OR4K14,downstream_gene_variant,MODIFIER,OR4K14,0.0175097,0.000239,NA,-?,0.000238783
14,20011954,rs141869390,OR4K14,downstream_gene_variant,MODIFIER,OR4K14,0.0174986,0.000239,NA,-?,0.000238783
2,150354707,rs75660398,RND3,"intron_variant,non_coding_transcript_variant",MODIFIER,LINC01818,0.0354244,0.000241,NA,+?,0.00024066
2,150365234,rs59576428,RND3,intergenic_variant,MODIFIER,-,0.0305854,0.000241,NA,+?,0.00024066
19,31134269,rs276191,TSHZ3,"intron_variant,non_coding_transcript_variant",MODIFIER,AC020912.1,0.0126577,0.000242,0.712261,-+,0.895775307
7,138747398,rs73730499,ATP6V0A4,intron_variant,MODIFIER,ATP6V0A4,0.0350417,0.000244,NA,+?,0.000244455
5,96501787,rs75831285,CAST,"intron_variant,non_coding_transcript_variant",MODIFIER,AC104123.1,0.0567392,0.000245,NA,+?,0.000245413
8,302145,rs7825812,ZNF596,intergenic_variant,MODIFIER,-,0.0740311,0.000246,NA,-?,0.000246374
8,310260,rs144269398,ZNF596,downstream_gene_variant,MODIFIER,AC136777.1,0.0741056,0.000246,NA,-?,0.000246374
2,31030954,rs7609452,GALNT14,intron_variant,MODIFIER,GALNT14,0.0617204,0.000248,NA,-?,0.000248307
21,35146229,rs116540537,RUNX1,intron_variant,MODIFIER,RUNX1,0.00442305,0.000257,0.338167,++,0.233261245
19,8437500,rs564249215,2-Mar,intron_variant,MODIFIER,MARCHF2,0.00238981,0.000266,0.740392,+-,0.924314827
19,8511576,rs368654982,ZNF414,intron_variant,MODIFIER,ZNF414,0.00236537,0.000266,0.935102,+-,0.876821317
19,44827852,rs905342119,BCAM,intergenic_variant,MODIFIER,-,0.00613989,0.000266,0.486727,++,0.304891584
14,37345472,rs61618026,MIPOL1,intron_variant,MODIFIER,MIPOL1,0.07969,0.000267,NA,-?,0.000267392
14,37347348,rs57233419,MIPOL1,intron_variant,MODIFIER,MIPOL1,0.0801211,0.000267,NA,-?,0.000267392
2,165160909,rs192765288,SCN3A,intron_variant,MODIFIER,SCN3A,0.00552123,0.000274,0.844277,++,0.66646837
1,228328574,rs568620968,OBSCN,intron_variant,MODIFIER,OBSCN,0.00236577,0.000276,0.12797,-+,0.192916386
1,228440954,rs539480959,HIST3H3,intergenic_variant,MODIFIER,-,0.00147939,0.000276,0.205548,-+,0.295561032
1,93705184,rs576554926,BCAR3,intron_variant,MODIFIER,BCAR3,0.00450557,0.000279,0.0989685,--,0.057827938
3,96479625,rs9834880,MTRNR2L12,intergenic_variant,MODIFIER,-,0.114991,0.000285,0.574689,++,0.36758832
4,137179066,rs116016580,PCDH18,"intron_variant,non_coding_transcript_variant",MODIFIER,LINC02511,0.00275555,0.000287,NA,-?,0.000286733
4,130065206,rs186256768,C4orf33,intergenic_variant,MODIFIER,-,0.00594997,0.000289,0.503554,-+,0.676678408
6,69274903,rs73469396,ADGRB3,intron_variant,MODIFIER,ADGRB3,0.0796622,0.000296,0.179752,--,0.103101497
6,123243121,rs182905292,TRDN,intron_variant,MODIFIER,TRDN,0.00323153,0.000296,0.0536978,-+,0.087450949
6,123404807,rs140448470,TRDN,intron_variant,MODIFIER,TRDN,0.00312059,0.000296,0.230487,-+,0.327086119
6,123443424,rs544898918,TRDN,intron_variant,MODIFIER,TRDN,0.00389768,0.000296,0.237689,-+,0.336049604
9,86407948,rs7870974,TUT7,intergenic_variant,MODIFIER,-,0.0521598,0.000298,NA,-?,0.000298037
5,107303486,rs188503419,EFNA5,regulatory_region_variant,MODIFIER,-,0.00244304,0.000306,0.351286,++,0.244829502
11,69798540,rs183619207,FGF3,intergenic_variant,MODIFIER,-,0.00323058,0.000314,0.748409,++,0.56935614
11,69814086,rs142178649,FGF3,intron_variant,MODIFIER,FGF3,0.00327596,0.000314,0.7496,++,0.570714182
1,210728094,rs138529249,KCNH1,intron_variant,MODIFIER,KCNH1,0.00561947,0.000315,0.654699,++,0.487055302
9,84422917,rs12349231,SLC28A3,"intron_variant,non_coding_transcript_variant",MODIFIER,AL157886.1,0.0617364,0.000316,0.239985,--,0.147337583
9,84429090,rs28480666,SLC28A3,"intron_variant,non_coding_transcript_variant",MODIFIER,AL157886.1,0.0697809,0.000316,0.252198,--,0.154446472
9,84436061,rs11140607,SLC28A3,"intron_variant,non_coding_transcript_variant",MODIFIER,AL157886.1,0.0633666,0.000316,0.241305,--,0.148177202
1,177775994,rs191191456,SEC16B,"intron_variant,non_coding_transcript_variant",MODIFIER,AL136114.1,0.00213517,0.000319,0.902202,-+,0.912409375
3,66858535,rs4358244,KBTBD8,intergenic_variant,MODIFIER,-,0.0583873,0.000336,NA,+?,0.000335789
11,30662063,rs74870793,MPPED2,intergenic_variant,MODIFIER,-,0.00471092,0.000337,0.80209,-+,0.985638853
3,89352249,rs73846144,EPHA3,intron_variant,MODIFIER,EPHA3,0.0592058,0.000342,0.924362,++,0.709892849
6,75084183,rs9443151,COL12A1,downstream_gene_variant,MODIFIER,COL12A1,0.0514368,0.000343,NA,-?,0.000343594
11,95943154,rs182222036,MTMR2,intergenic_variant,MODIFIER,-,0.00637734,0.000344,0.70809,++,0.534599623
2,189125919,rs34864736,COL5A2,intron_variant,MODIFIER,COL5A2,0.00429035,0.00035,0.271782,+-,0.386490162
2,189169283,rs35160346,COL5A2,intron_variant,MODIFIER,COL5A2,0.00429391,0.00035,0.271782,+-,0.386490162
2,189182576,rs13031775,COL5A2,upstream_gene_variant,MODIFIER,COL5A2,0.00431987,0.00035,0.271782,+-,0.386490162
2,189313638,rs12986571,WDR75,upstream_gene_variant,MODIFIER,KRT18P19,0.00454216,0.00035,0.509487,+-,0.669379328
2,189456711,rs556724731,WDR75,intron_variant,MODIFIER,WDR75,0.00449098,0.00035,0.514742,+-,0.675216132
10,12770332,rs79079974,CAMK1D,intron_variant,MODIFIER,CAMK1D,0.0337051,0.00035,0.814587,-+,0.925903561
3,7735792,rs78362468,GRM7,intron_variant,MODIFIER,GRM7,0.0306448,0.000351,NA,+?,0.000351569
3,62677228,rs142501860,CADPS,intron_variant,MODIFIER,CADPS,0.00489682,0.000362,0.161577,--,0.103737098
3,131481819,rs79144060,MRPL3,intron_variant,MODIFIER,MRPL3,0.0410982,0.000363,NA,+?,0.000362471
3,131492562,rs74416152,MRPL3,intron_variant,MODIFIER,MRPL3,0.0407803,0.000363,NA,+?,0.000362471
3,131503786,rs78616726,MRPL3,upstream_gene_variant,MODIFIER,MRPL3,0.0417283,0.000363,NA,+?,0.000362471
3,131506022,rs75887621,MRPL3,upstream_gene_variant,MODIFIER,MRPL3,0.0416783,0.000363,NA,+?,0.000362471
3,131512306,rs145474408,MRPL3,"intron_variant,non_coding_transcript_variant",MODIFIER,AC107027.1,0.0416097,0.000363,NA,+?,0.000362471
3,66858800,rs73833715,KBTBD8,regulatory_region_variant,MODIFIER,-,0.044163,0.000367,NA,+?,0.000366641
3,66858814,rs73833716,KBTBD8,regulatory_region_variant,MODIFIER,-,0.0503581,0.000367,NA,+?,0.000366641
3,100715498,rs2447456,TFG,intron_variant,MODIFIER,TFG,0.084114,0.000372,0.426395,++,0.279697114
3,100729339,rs1144104,TFG,intron_variant,MODIFIER,TFG,0.084021,0.000372,0.426395,++,0.279697114
1,197900467,rs73083805,C1orf53,upstream_gene_variant,MODIFIER,C1orf53,0.0338347,0.000375,NA,-?,0.000375114
1,27512376,rs11801492,AHDC1,regulatory_region_variant,MODIFIER,-,0.0619364,0.000378,0.859584,-+,0.94498962
9,132826555,rs141404900,AK8,intron_variant,MODIFIER,AK8,0.00384631,0.000384,0.143396,+-,0.20515529
14,81715724,rs74065194,SEL1L,intergenic_variant,MODIFIER,-,0.0285082,0.000384,0.0228799,++,0.011438803
3,47522655,rs11130134,ELP6,regulatory_region_variant,MODIFIER,-,0.058221,0.000386,0.973761,++,0.721840565
6,139646863,rs74773172,CITED2,"intron_variant,non_coding_transcript_variant",MODIFIER,AL592429.2,0.00689386,0.000391,0.41074,-+,0.59403358
6,139667227,rs117467318,CITED2,non_coding_transcript_exon_variant,MODIFIER,AL592429.2,0.00671221,0.000391,0.305251,-+,0.462339494
6,75039722,rs9352183,COL12A1,intergenic_variant,MODIFIER,-,0.070245,0.000391,NA,-?,0.000391126
3,166116759,rs59076839,BCHE,intergenic_variant,MODIFIER,-,0.0236295,0.000399,0.882173,++,0.718847134
10,132254266,rs55633218,STK32C,intron_variant,MODIFIER,STK32C,0.0553987,0.000399,0.256195,++,0.149302374
1,177555829,rs181909901,BRINP2,"intron_variant,non_coding_transcript_variant",MODIFIER,AL136114.1,0.00210081,0.000402,0.531368,--,0.413357187
8,15798082,rs80081256,TUSC3,intergenic_variant,MODIFIER,-,0.0228361,0.000402,0.135078,-+,0.248500169
2,103333305,rs1430077,TMEM182,intergenic_variant,MODIFIER,-,0.017649,0.000403,0.895561,-+,0.910030555
1,70402120,rs74665878,CTH,intergenic_variant,MODIFIER,-,0.00573862,0.000404,0.898483,+-,0.91955046
21,27417524,rs117116753,ADAMTS5,"intron_variant,non_coding_transcript_variant",MODIFIER,AP001605.1,0.00506101,0.000405,0.695342,-+,0.827429111
9,84120569,rs57040709,RMI1,intergenic_variant,MODIFIER,-,0.0548712,0.000405,NA,-?,0.0004047
9,84122111,rs73649315,RMI1,regulatory_region_variant,MODIFIER,-,0.0533552,0.000405,NA,-?,0.0004047
9,84126114,rs73649316,RMI1,intergenic_variant,MODIFIER,-,0.0555222,0.000405,NA,-?,0.0004047
2,71650992,rs57380390,DYSF,intron_variant,MODIFIER,DYSF,0.0622352,0.000406,0.90952,+-,0.771816238
2,71655857,rs59664907,DYSF,intron_variant,MODIFIER,DYSF,0.0620583,0.000406,0.90952,+-,0.771816238
2,130005792,rs185492290,RAB6C,"intron_variant,non_coding_transcript_variant",MODIFIER,AC079776.4,0.00312251,0.000407,0.0646773,-+,0.098738575
2,130135348,rs184642870,CCDC74B,downstream_gene_variant,MODIFIER,CCDC74B,0.00342888,0.000407,0.128355,-+,0.185171151
2,130240518,rs140710879,TUBA3E,intergenic_variant,MODIFIER,-,0.0031479,0.000407,0.128355,-+,0.185171151
2,130589153,rs192569187,CFC1,downstream_gene_variant,MODIFIER,CFC1,0.00259172,0.000407,0.128355,-+,0.185171151
2,130765991,rs72854997,AMER3,3_prime_UTR_variant,MODIFIER,AMER3,0.00328768,0.000407,0.128285,-+,0.185171151
2,130766516,rs185430418,AMER3,3_prime_UTR_variant,MODIFIER,AMER3,0.00328712,0.000407,0.110628,-+,0.162413571
2,130837688,rs577732654,ARHGEF4,upstream_gene_variant,MODIFIER,AC133785.1,0.00314676,0.000407,0.129212,-+,0.186168151
2,130890948,rs55938466,ARHGEF4,"intron_variant,non_coding_transcript_variant",MODIFIER,ARHGEF4,0.00313473,0.000407,0.128355,-+,0.185171151
2,130922228,rs139066085,ARHGEF4,intron_variant,MODIFIER,ARHGEF4,0.00919151,0.000407,0.128786,-+,0.185835378
2,131429720,rs56332310,MZT2A,upstream_gene_variant,MODIFIER,GNAQP1,0.00510653,0.000407,0.0995351,-+,0.14677986
2,131499874,rs72859887,MZT2A,"intron_variant,non_coding_transcript_variant",MODIFIER,SMPD4BP,0.00515298,0.000407,0.0601377,-+,0.092181669
3,115429332,rs58729421,GAP43,"intron_variant,non_coding_transcript_variant",MODIFIER,AC026341.3,0.0494804,0.000414,0.327475,+-,0.520873183
1,3742124,rs189050716,TP73,"intron_variant,non_coding_transcript_variant",MODIFIER,TP73-AS1,0.00657206,0.000415,0.314788,--,0.231306555
6,108061386,rs527527045,OSTM1,intron_variant,MODIFIER,OSTM1,0.00528528,0.000415,0.269403,--,0.178302517
6,72821974,rs2185766,KCNQ5,intron_variant,MODIFIER,KCNQ5,0.059031,0.000415,NA,-?,0.00041556
2,34014070,rs79943993,FAM98A,"intron_variant,non_coding_transcript_variant",MODIFIER,LINC01320,0.00527535,0.000417,0.681496,+-,0.856367576
2,34053387,rs77937800,FAM98A,"intron_variant,non_coding_transcript_variant",MODIFIER,LINC01320,0.00534478,0.000417,0.831778,+-,0.987234392
5,96505347,rs7725458,CAST,"intron_variant,non_coding_transcript_variant",MODIFIER,AC104123.1,0.0490903,0.000422,NA,+?,0.000421887
5,96504515,rs77978174,CAST,"intron_variant,non_coding_transcript_variant",MODIFIER,AC104123.1,0.049966,0.000422,NA,+?,0.000421887
3,144954968,rs73016100,DIPK2A,intergenic_variant,MODIFIER,-,0.0629431,0.000425,0.280591,++,0.166052467
3,144958045,rs7640657,DIPK2A,intergenic_variant,MODIFIER,-,0.0627882,0.000425,0.280591,++,0.166052467
3,144959208,rs73018121,DIPK2A,intergenic_variant,MODIFIER,-,0.0628605,0.000425,0.280591,++,0.166052467
3,144961246,rs73018126,DIPK2A,intergenic_variant,MODIFIER,-,0.0627182,0.000425,0.280591,++,0.166052467
3,144963185,rs112209120,DIPK2A,intergenic_variant,MODIFIER,-,0.0628644,0.000425,0.280016,++,0.165746903
3,144964134,rs4074898,DIPK2A,intergenic_variant,MODIFIER,-,0.0542897,0.000425,0.280591,++,0.166052467
3,144964993,rs73018140,DIPK2A,intergenic_variant,MODIFIER,-,0.0627758,0.000425,0.280591,++,0.166052467
3,144965420,rs73018142,DIPK2A,intergenic_variant,MODIFIER,-,0.0627636,0.000425,0.280591,++,0.166052467
3,144966159,rs74809257,DIPK2A,intergenic_variant,MODIFIER,-,0.0587304,0.000425,0.280591,++,0.166052467
3,144966526,rs114151646,DIPK2A,intergenic_variant,MODIFIER,-,0.0609242,0.000425,0.279853,++,0.165746903
15,53967143,rs180693254,UNC13C,"intron_variant,non_coding_transcript_variant",MODIFIER,AC084759.2,0.00482167,0.000425,0.98367,-+,0.863437529
15,54042714,rs548430030,UNC13C,intron_variant,MODIFIER,UNC13C,0.0053846,0.000425,0.836524,--,0.689893204
19,47115397,rs564955778,ZC3H4,upstream_gene_variant,MODIFIER,ZC3H4,0.00184388,0.000428,0.972568,++,0.854013455
17,55708200,rs61178852,TMEM100,regulatory_region_variant,MODIFIER,-,0.0564651,0.000428,NA,+?,0.000428304
17,3448055,rs73977723,SPATA22,intron_variant,MODIFIER,SPATA22,0.0156483,0.000438,NA,-?,0.000438101
6,124981462,rs79876099,RNF217,intron_variant,MODIFIER,RNF217,0.0372204,0.000439,NA,-?,0.000439754
17,27177153,rs9674458,WSB1,intergenic_variant,MODIFIER,-,0.0323384,0.000441,NA,+?,0.000441413
3,47509831,rs1984882,ELP6,intron_variant,MODIFIER,ELP6,0.054594,0.000444,0.97818,++,0.755040523
3,47535009,rs6770690,ELP6,intergenic_variant,MODIFIER,-,0.053929,0.000444,0.973761,++,0.751243602
12,56384473,rs76331335,APOF,upstream_gene_variant,MODIFIER,AC025574.1,0.00757533,0.000444,0.855816,--,0.632650205
